,UserID,CrosswordID,RawTime,ScaledTime,Rank
380,18.0,3.0,51.0,0.81,8.0
381,18.0,4.0,99.0,1.18,13.0
382,18.0,5.0,87.0,0.81,7.0
383,18.0,6.0,52.0,0.81,8.0
384,18.0,7.0,83.0,0.67,4.0
385,18.0,8.0,50.0,0.86,6.0
386,18.0,9.0,85.0,1.25,14.0
387,18.0,10.0,43.0,0.86,5.0
388,18.0,11.0,88.0,1.36,17.0
389,18.0,12.0,48.0,0.86,7.0
390,18.0,13.0,54.0,0.66,7.0
391,18.0,14.0,45.0,0.53,1.0
392,18.0,15.0,44.0,0.93,8.0
393,18.0,16.0,35.0,1.08,12.0
394,18.0,18.0,38.0,0.97,11.0
395,18.0,19.0,44.0,0.94,10.0
396,18.0,21.0,58.0,0.89,8.0
397,18.0,22.0,46.0,1.01,11.0
398,18.0,23.0,38.0,0.87,6.0
399,18.0,24.0,49.0,0.9,11.0
400,18.0,25.0,45.0,0.74,6.0
401,18.0,26.0,30.0,0.56,1.0
402,18.0,27.0,42.0,1.02,10.0
403,18.0,28.0,39.0,0.98,8.0
404,18.0,29.0,39.0,0.98,7.0
405,18.0,30.0,35.0,0.81,5.0
406,19.0,1.0,44.0,0.76,6.0
407,19.0,3.0,63.0,1.0,9.0
408,19.0,4.0,79.0,0.94,9.0
409,19.0,5.0,108.0,1.0,10.0
410,19.0,6.0,14.0,0.22,1.0
411,19.0,7.0,186.0,1.51,18.0
412,19.0,8.0,37.0,0.64,1.0
413,19.0,9.0,70.0,1.03,12.0
414,19.0,10.0,28.0,0.56,1.0
415,19.0,11.0,63.0,0.98,10.0
416,19.0,12.0,45.0,0.8,5.0
417,19.0,13.0,43.0,0.53,5.0
418,19.0,14.0,86.0,1.01,11.0
419,19.0,15.0,74.0,1.56,17.0
420,19.0,16.0,28.0,0.86,8.0
421,19.0,17.0,39.0,0.68,3.0
422,19.0,18.0,37.0,0.95,10.0
423,19.0,19.0,51.0,1.09,14.0
424,19.0,20.0,30.0,0.59,2.0
425,19.0,21.0,70.0,1.08,13.0
426,19.0,22.0,42.0,0.92,7.0
427,19.0,23.0,34.0,0.78,5.0
428,19.0,24.0,36.0,0.66,6.0
429,19.0,25.0,61.0,1.0,11.0
430,19.0,26.0,30.0,0.56,1.0
431,19.0,27.0,41.0,1.0,8.0
432,19.0,28.0,21.0,0.53,1.0
433,19.0,29.0,40.0,1.0,8.0
434,19.0,30.0,31.0,0.72,2.0
435,20.0,1.0,58.0,1.0,10.0
436,20.0,2.0,34.0,0.54,2.0
437,20.0,5.0,56.0,0.52,2.0
438,20.0,8.0,56.0,0.97,10.0
439,20.0,9.0,29.0,0.43,2.0
440,20.0,10.0,43.0,0.86,5.0
441,20.0,11.0,31.0,0.48,2.0
442,20.0,12.0,16.0,0.29,1.0
443,20.0,13.0,115.0,1.41,12.0
444,20.0,14.0,50.0,0.59,2.0
445,20.0,15.0,24.0,0.51,1.0
446,20.0,16.0,17.0,0.52,1.0
447,20.0,17.0,39.0,0.68,3.0
448,20.0,18.0,28.0,0.72,3.0
449,20.0,19.0,50.0,1.06,13.0
450,20.0,23.0,24.0,0.55,1.0
451,20.0,24.0,29.0,0.53,3.0
452,21.0,18.0,46.0,1.18,16.0
453,21.0,19.0,42.0,0.89,8.0
454,21.0,20.0,33.0,0.65,3.0
455,21.0,24.0,60.0,1.1,16.0
